EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;Ano
1547002;1;2012-04-01;1;38.4;71.3;9.0;6.0;1;1;1;;0.0;0.0;4.5;2.0;0.0;9.1;0.0;0.0;11.2;38.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;0.0;2012
1547002;2;2012-03-01;1;31.3;88.2;12.0;7.0;1;1;1;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2;7.6;0.0;31.3;0.0;0.0;4.7;0.0;5.2;0.0;28.9;0.0;6.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;2012
1547002;1;2012-03-01;1;31.3;88.2;12.0;7.0;1;1;1;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2;7.6;0.0;31.3;0.0;0.0;4.7;0.0;5.2;0.0;28.9;0.0;6.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;2012
1547002;2;2012-02-01;1;28.3;92.9;24.0;9.0;1;1;1;;0.0;6.2;0.0;6.4;0.0;0.0;0.0;0.0;0.0;7.6;0.0;0.0;6.2;18.4;5.4;0.0;0.0;4.7;0.0;9.7;0.0;0.0;0.0;0.0;28.3;0.0;0.0;0.0;0.0;0.0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;0.0;0.0;2012
1547002;1;2012-02-01;1;28.3;92.9;24.0;9.0;1;1;1;;0.0;6.2;0.0;6.4;0.0;0.0;0.0;0.0;0.0;7.6;0.0;0.0;6.2;18.4;5.4;0.0;0.0;4.7;0.0;9.7;0.0;0.0;0.0;0.0;28.3;0.0;0.0;0.0;0.0;0.0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;0.0;0.0;2012
1547002;2;2012-01-01;1;75.2;240.5;16.0;14.0;1;1;1;;0.0;3.5;9.8;6.2;15.8;0.0;0.0;0.0;23.2;9.6;42.4;1.6;8.6;1.3;0.0;4.8;75.2;0.0;31.6;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;2012
1547002;1;2012-01-01;1;75.2;240.5;16.0;14.0;1;1;1;;0.0;3.5;9.8;6.2;15.8;0.0;0.0;0.0;23.2;9.6;42.4;1.6;8.6;1.3;0.0;4.8;75.2;0.0;31.6;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;2012
1547002;2;2011-12-01;1;56.5;261.9;18.0;16.0;1;1;1;;0.0;33.2;0.0;0.0;5.9;3.7;0.0;0.0;0.0;0.0;0.0;16.6;13.6;0.0;5.7;0.0;15.0;0.0;56.5;3.5;26.4;18.4;8.4;0.0;0.0;5.0;43.3;0.0;3.3;0.0;3.4;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;2011
1547002;1;2011-12-01;1;56.5;261.9;18.0;16.0;1;1;1;;0.0;33.2;0.0;0.0;5.9;3.7;0.0;0.0;0.0;0.0;0.0;16.6;13.6;0.0;5.7;0.0;15.0;0.0;56.5;3.5;26.4;18.4;8.4;0.0;0.0;5.0;43.3;0.0;3.3;0.0;3.4;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;2011
1547002;2;2011-11-01;1;46.5;246.7;27.0;15.0;1;1;1;;0.0;9.2;0.0;0.0;0.0;0.0;0.0;0.0;26.5;6.5;1.8;0.0;0.0;0.0;0.0;35.6;7.4;0.0;0.0;0.0;6.4;24.2;3.7;0.0;0.0;28.6;1.4;46.5;8.3;25.3;15.3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;0.0;2011
